entid,q502,q502_1,q502_2,q502_3
48942da6-2263-497d-b95b-41467ab905eb,Biogas stove,0,0,0
48942da6-2263-497d-b95b-41467ab905eb,Electric cooking device,0,0,0
48942da6-2263-497d-b95b-41467ab905eb,Kerosene fuel / other liquid fuel stove,0,0,0
48942da6-2263-497d-b95b-41467ab905eb,LPG stove,0,0,0
48942da6-2263-497d-b95b-41467ab905eb,Other,0,0,0
48942da6-2263-497d-b95b-41467ab905eb,Solid-fuel stove,3,600,20000
4a42b5f3-b562-48fe-9cad-ec250590ce4c,Biogas stove,0,0,0
4a42b5f3-b562-48fe-9cad-ec250590ce4c,Electric cooking device,0,0,0
4a42b5f3-b562-48fe-9cad-ec250590ce4c,Kerosene fuel / other liquid fuel stove,0,0,0
4a42b5f3-b562-48fe-9cad-ec250590ce4c,LPG stove,2,180,4500
4a42b5f3-b562-48fe-9cad-ec250590ce4c,Other,0,0,0
4a42b5f3-b562-48fe-9cad-ec250590ce4c,Solid-fuel stove,1,240,6000
4bdb1bf7-de55-4262-9c9e-0113f86fb901,Biogas stove,1,200,50000
4bdb1bf7-de55-4262-9c9e-0113f86fb901,Electric cooking device,0,0,0
4bdb1bf7-de55-4262-9c9e-0113f86fb901,Kerosene fuel / other liquid fuel stove,1,260,3000
4bdb1bf7-de55-4262-9c9e-0113f86fb901,LPG stove,0,0,0
4bdb1bf7-de55-4262-9c9e-0113f86fb901,Other,0,0,0
4bdb1bf7-de55-4262-9c9e-0113f86fb901,Solid-fuel stove,0,0,0
4c3375ff-299c-456d-bee5-35a958422477,Biogas stove,1,80,12000
4c3375ff-299c-456d-bee5-35a958422477,Electric cooking device,0,0,0
4c3375ff-299c-456d-bee5-35a958422477,Kerosene fuel / other liquid fuel stove,0,0,0
4c3375ff-299c-456d-bee5-35a958422477,LPG stove,0,0,0
